DATAFLOW,MEASURE: Measure,ESTIMATE_TYPE: Estimate Type,SEX: Sex,SECTOR: Sector,INDUSTRY: Industry,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,CHANGE : Change Over Previous,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2010-Q4,792.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2011-Q2,823.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2011-Q4,813.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2012-Q2,776.6,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2012-Q4,826,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2013-Q2,874.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2013-Q4,895.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2014-Q2,865.6,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2014-Q4,884.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2015-Q2,915.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2015-Q4,924.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2016-Q2,956.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2016-Q4,1041.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2017-Q2,965.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2017-Q4,1034.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2018-Q2,1056.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2018-Q4,1086.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2019-Q2,1048,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2019-Q4,1010.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2020-Q2,1098.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2020-Q4,1101.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2021-Q2,1099,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2021-Q4,1136.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2022-Q2,1168.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1994-Q4,257.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1995-Q2,259.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1995-Q4,270.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1996-Q2,280.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1996-Q4,285.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1997-Q2,280.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1997-Q4,295.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1998-Q2,299.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1998-Q4,304.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1999-Q2,315.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1999-Q4,314.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2000-Q2,327,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2000-Q4,335.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2001-Q2,331.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2001-Q4,348.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2002-Q2,348.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2002-Q4,364.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2003-Q2,375.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2003-Q4,370.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2004-Q2,373.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2004-Q4,404.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2005-Q2,407.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2005-Q4,411.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2006-Q2,419.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2006-Q4,436.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2007-Q2,450.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2007-Q4,482.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2008-Q2,482.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2008-Q4,512.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2009-Q2,499.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2009-Q4,492.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2010-Q2,513.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2010-Q4,535.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2011-Q2,518.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2011-Q4,542.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2012-Q2,547.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2012-Q4,554.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2013-Q2,552.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2013-Q4,575.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2014-Q2,566.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2014-Q4,581.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2015-Q2,591.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2015-Q4,628.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2016-Q2,597.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2016-Q4,599.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2017-Q2,593.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2017-Q4,636.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2018-Q2,649.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2018-Q4,670.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2019-Q2,672.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2019-Q4,715.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2020-Q2,703.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2020-Q4,650.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2021-Q2,706.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2021-Q4,711.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2022-Q2,697,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1994-Q4,320.7,AUD: Australian Dollars,0.00%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1995-Q2,325.1,AUD: Australian Dollars,1.37%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1995-Q4,335.5,AUD: Australian Dollars,3.20%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1996-Q2,345.1,AUD: Australian Dollars,2.86%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1996-Q4,352.2,AUD: Australian Dollars,2.06%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1997-Q2,352.9,AUD: Australian Dollars,0.20%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1997-Q4,366,AUD: Australian Dollars,3.71%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1998-Q2,378.3,AUD: Australian Dollars,3.36%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1998-Q4,374.5,AUD: Australian Dollars,-1.00%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1999-Q2,399.2,AUD: Australian Dollars,6.60%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,1999-Q4,394.3,AUD: Australian Dollars,-1.23%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2000-Q2,411.6,AUD: Australian Dollars,4.39%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2000-Q4,415.3,AUD: Australian Dollars,0.90%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2001-Q2,419.9,AUD: Australian Dollars,1.11%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2001-Q4,440.1,AUD: Australian Dollars,4.81%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2002-Q2,430.4,AUD: Australian Dollars,-2.20%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2002-Q4,456.1,AUD: Australian Dollars,5.97%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2003-Q2,462.5,AUD: Australian Dollars,1.40%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2003-Q4,473.8,AUD: Australian Dollars,2.44%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2004-Q2,468,AUD: Australian Dollars,-1.22%,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,3: Persons,Private and Public,G: Retail Trade,Original,Australia,Q: Quarterly,2004-Q4,500.9,AUD: Australian Dollars,7.03%,,
